fid;Tipo_de_Pr;Estado_201;Proyecto;Empresa;Capacidad;Contrato;Municipio;Departamen;Lat;Long;the_geom;the_geom2
97;5;5;Rio Tapalapa;COMGELSA;3;064-2010;273;16;15.205656;-88.4644249;POINT (-88.4644249 15.205656);POINT (-88.4644249 15.205656)
98;5;4;Chamelecon 280;GERSA CHAMELECON;12;065-2010;263;16;15.1964921;-88.6148516;POINT (-88.6148516 15.1964921);POINT (-88.6148516 15.1964921)
99;5;6;Rio Perla;Hidroelectrica Rio Perla S.A. De C.V. (HIDROPERLA S.A.);6;066-2010;5;1;15.6631429;-86.9654751;POINT (-86.9654751 15.6631429);POINT (-86.9654751 15.6631429)
100;5;4;Puringla Sazagua;Compania Electrica Centroamericana CECA;10;067-2010;182;12;14.3704024;-87.944631;POINT (-87.944631 14.3704024);POINT (-87.944631 14.3704024)
101;5;4;Puringla Sazagua;Compania Electrica Centroamericana CECA;10;067-2010;182;12;14.3387311;-87.9519163;POINT (-87.9519163 14.3387311);POINT (-87.9519163 14.3387311)
102;5;7;Rio Wampu (Guano I);Hidroluz S.A De C.V;14.8;068-2010;232;15;15.0214658;-85.4890199;POINT (-85.4890199 15.0214658);POINT (-85.4890199 15.0214658)
103;5;6;Lagunetas Fase I;HIDRIOELECTRICIDAD S.A DE C. V;20.31;068-2014;295;18;15.1897656;-87.8676577;POINT (-87.8676577 15.1897656);POINT (-87.8676577 15.1897656)
104;5;5;Rio Cuyamel II;Compania de Energia San Francisco CONERSA;3;069-2010;5;1;15.6205261;-87.0226068;POINT (-87.0226068 15.6205261);POINT (-87.0226068 15.6205261)
105;5;5;Lagunetas Fase II;HIDROENERGIAS S.A DE C. V;17.48;069-2014;297;18;15.123736;-87.7515258;POINT (-87.7515258 15.123736);POINT (-87.7515258 15.123736)
106;5;4;Betulia;General Equipment supply S.A. De Cv;2.8;070-2010;14;2;15.8673615;-86.1415519;POINT (-86.1415519 15.8673615);POINT (-86.1415519 15.8673615)
107;5;6;Chinacla;Hidroelectrica La Sierra S.A. de C.V.;6.92;071-2010;156;10;14.0716862;-88.2606493;POINT (-88.2606493 14.0716862);POINT (-88.2606493 14.0716862)
108;5;6;Rio Marmol;Central Hidroelectrica Lempira (CEHL S.A. de C.V.);1.46;072-2010;14;2;15.8860236;-86.0558227;POINT (-86.0558227 15.8860236);POINT (-86.0558227 15.8860236)
109;5;5;Jilamito;Inversiones De Generacion Electricas, S.A de C.V. (INGELSA);14.85;073-2010;6;1;15.5338979;-87.3000825;POINT (-87.3000825 15.5338979);POINT (-87.3000825 15.5338979)
110;5;6;Los Planes Fase I;ELECTROMECaNICA ALFA, S.A DE C. V;4;073-2014;178;12;14.2349644;-87.890373;POINT (-87.890373 14.2349644);POINT (-87.890373 14.2349644)
111;5;6;Los Planes Fase II;ELECTROMECaNICA ALFA, S.A DE C. V;2;074-2014;178;12;14.2708782;-87.8673573;POINT (-87.8673573 14.2708782);POINT (-87.8673573 14.2708782)
112;5;4;Los Laureles;Empresa Generadora El Reto S.A. de C.V. (EGERETO);3.5;075-2010;65;5;15.7440582;-88.0087327;POINT (-88.0087327 15.7440582);POINT (-88.0087327 15.7440582)
113;5;6;Rio Cuero Etapa I;HIDROGENERACIONES ELECTRICAS DE HONDURAS S.A DE C.V;1.65;075-2014;4;1;15.4664445;-87.1687315;POINT (-87.1687315 15.4664445);POINT (-87.1687315 15.4664445)
114;5;6;Rio Cuero Etapa II;HIDROGENERACIONES ELECTRICAS DE HONDURAS S.A DE C.V;1.69;076-2014;4;1;15.4732919;-87.1375068;POINT (-87.1375068 15.4732919);POINT (-87.1375068 15.4732919)
115;5;6;Santiago;Empresa generadora de Santiago EGESA;2.5;077-2010;5;1;15.5711336;-87.0546985;POINT (-87.0546985 15.5711336);POINT (-87.0546985 15.5711336)
116;5;6;Rio Cuero Etapa III;HIDROGENERACIONES ELECTRICAS DE HONDURAS S.A DE C.V;1.58;077-2014;4;1;15.4968001;-87.1341658;POINT (-87.1341658 15.4968001);POINT (-87.1341658 15.4968001)
117;5;4;Pencaligue;Hidroelectricas de Occidente S. de R.L de C.V (Hidrocci);13;078-2010;253;16;14.9615987;-88.5043044;POINT (-88.5043044 14.9615987);POINT (-88.5043044 14.9615987)
118;5;6;Rio Cuero Etapa IV - Presa I;HIDROGENERACIONES ELECTRICAS DE HONDURAS S.A DE C.V;2.6;078-2014;4;1;15.499899;-87.0832139;POINT (-87.0832139 15.499899);POINT (-87.0832139 15.499899)
119;5;6;Rio Cuero Etapa IV - Presa II;HIDROGENERACIONES ELECTRICAS DE HONDURAS S.A DE C.V;2.6;078-2014;4;1;15.5035129;-87.089509;POINT (-87.089509 15.5035129);POINT (-87.089509 15.5035129)
120;5;7;Blanco/La Puerta Etapa I;Gutierrez Arevalo Energy, S.A. de C.V. (G.A. Energy);2;079-2010, decreto 370-2013;137;8;14.4808332;-87.4594445;POINT (-87.4594445 14.4808332);POINT (-87.4594445 14.4808332)
121;5;5;Blanco/La Puerta Etapa III;Sociedad Mercantil Gutierrez Arevalo, S.A. de C.V.;2;080-2010, decreto 370-2013;137;8;14.548611;-87.4194445;POINT (-87.4194445 14.548611);POINT (-87.4194445 14.548611)
122;5;4;Ojo De Agua;Sociedad Olanchana S.A.De C.V. (Shol);36.4;081-2010;11;2;15.4354841;-85.5150905;POINT (-85.5150905 15.4354841);POINT (-85.5150905 15.4354841)
123;5;6;Santa Maria de Quipua;Sociedad Hidroelectrica Santa Maria De Quipua, S.A. de C.V.;38.65;082-2010;296;18;14.9396169;-87.3571555;POINT (-87.3571555 14.9396169);POINT (-87.3571555 14.9396169)
124;5;5;El Nispero (Expansion);Consorcio Enee-Php Energy Honduras S.A. De C.V.;6;082-2011, Decreto 377-2013;259;16;14.7644126;-88.3599252;POINT (-88.3599252 14.7644126);POINT (-88.3599252 14.7644126)
125;5;5;Petacon;EMPRESA PROMOTORA DE GENERACIoN DE ENERGIA LIMPIA S.A DE C. V. (PROGELSA);11.89;082-2014;124;8;13.9329039;-87.48615;POINT (-87.48615 13.9329039);POINT (-87.48615 13.9329039)
126;5;4;Los Laureles / Genera;GENERACIoN RENOVABLE Y AMBIENTAL, S.A DE C.V;5.2;083-2014;4;1;15.5393055;-87.2145556;POINT (-87.2145556 15.5393055);POINT (-87.2145556 15.5393055)
127;5;6;Agua Verde;SOCIEDAD HIDROELECTRICA AGUA VERDE S. A DE C. V;1;084-2014;72;5;14.9759129;-88.0317642;POINT (-88.0317642 14.9759129);POINT (-88.0317642 14.9759129)
128;5;4;La Vegona;COHERSA;40;085-2010;72;5;15.0857572;-87.7349321;POINT (-87.7349321 15.0857572);POINT (-87.7349321 15.0857572)
129;5;5;Tornillito;Hidroelectrica El Volcan S.A De C.V.(Hidrovolcan);160.2;087-2010;69;5;15.2136997;-88.0470076;POINT (-88.0470076 15.2136997);POINT (-88.0470076 15.2136997)
130;5;4;"La Esperanza o ""La Pozona"" - Presa 1a";Consorcio de Inversiones S.A de C.V. CISA;0.485;088-2001;144;10;14.2726565;-88.1813218;POINT (-88.1813218 14.2726565);POINT (-88.1813218 14.2726565)
131;5;4;"La Esperanza o ""La Pozona"" - Presa 1b";Consorcio de Inversiones S.A de C.V. CISA;0.748;088-2001;144;10;14.2687369;-88.1860101;POINT (-88.1860101 14.2687369);POINT (-88.1860101 14.2687369)
132;5;4;"La Esperanza o ""La Pozona"" - Presa II";Consorcio de Inversiones S.A de C.V. CISA;11.528;088-2001;144;10;14.262897;-88.180548;POINT (-88.180548 14.262897);POINT (-88.180548 14.262897)
133;5;5;Cangrejal;Hidrowest y asociados a S.A. (Hidro Honduras);40;088-2010;1;1;15.6752475;-86.7022482;POINT (-86.7022482 15.6752475);POINT (-86.7022482 15.6752475)
134;5;6;La Entrada Fase I;CORPORACIoN HONDUREnA DE SISTEMAS ELeCTRIVOS S. A DE C.V (CORHSESA);14.8;092-2014;232;15;15.0214658;-85.4890199;POINT (-85.4890199 15.0214658);POINT (-85.4890199 15.0214658)
135;5;4;Rio Blanco;Empresa Hidroelectrica RIO BLANCO S.A. de C.V.;5;093-2001 y DECRETO No. 313-2013;70;5;15.0298699;-88.0026456;POINT (-88.0026456 15.0298699);POINT (-88.0026456 15.0298699)
136;5;6;La Entrada Fase II;CORPORACIoN HONDUREnA DE SISTEMAS ELeCTRIVOS S. A DE C.V (CORHSESA);10;093-2014;232;15;14.9859054;-85.3341434;POINT (-85.3341434 14.9859054);POINT (-85.3341434 14.9859054)
137;5;6;Rio Pataste;ELECTROMECaNICA ALFA, S. A DE C. V;1;094-2014;232;15;15.0706313;-85.623944;POINT (-85.623944 15.0706313);POINT (-85.623944 15.0706313)
138;5;4;Cececapa I;COMGELSA;3;096-2001;261;16;15.0510693;-88.1559402;POINT (-88.1559402 15.0510693);POINT (-88.1559402 15.0510693)
139;5;4;La Nieve;Sociedad  Hidroelectrica La Nieve S.A. de C.V.;0.5;099-2001;261;16;15.0576788;-88.1048022;POINT (-88.1048022 15.0576788);POINT (-88.1048022 15.0576788)
140;5;5;El Zapote;HIDROTECH S.A DE C. V;6.3;102-2014;72;5;15.0620668;-87.871483;POINT (-87.871483 15.0620668);POINT (-87.871483 15.0620668)
141;5;4;Corral de Piedras;Energia de Occidente S.A. de C.V. (ENERCO);2.8;103-2014;172;12;14.2180754;-88.0322232;POINT (-88.0322232 14.2180754);POINT (-88.0322232 14.2180754)
142;5;6;Quiscamote;SOCIEDAD HIDROELECTRICA QUISCAMOTE, S. A DE C. V;3;109-2014;11;2;15.5042774;-85.5142141;POINT (-85.5142141 15.5042774);POINT (-85.5142141 15.5042774)
143;5;7;Monga;SOCIEDAD HIDROELECTRICA EL BOSQUE, S. A DE C. V;3.85;110-2014;294;18;15.4610572;-86.2299334;POINT (-86.2299334 15.4610572);POINT (-86.2299334 15.4610572)
144;5;6;El Rancho;TELEFONICA DE HONDURAS, S. A;21.3;112-2014;253;16;15.0036271;-88.4851443;POINT (-88.4851443 15.0036271);POINT (-88.4851443 15.0036271)
145;5;6;Santa Lucia;HIDROELECTRICA CUYUGUAL, S. A;7;115-2014;269;16;15.485718;-88.3120095;POINT (-88.3120095 15.485718);POINT (-88.3120095 15.485718)
146;5;5;Jacaleapa;HIDROELECTRICA JACALEAPA, S.A DE C.V;14.7;136-2014;234;15;15.291206;-86.5980863;POINT (-86.5980863 15.291206);POINT (-86.5980863 15.291206)
147;5;6;Ojo de Agua No.2;HIDROELECTRICA OJO DE AGUA No. 2, S. A DE C. V;9.84;139-2014;11;2;15.4882781;-85.5342836;POINT (-85.5342836 15.4882781);POINT (-85.5342836 15.4882781)
148;5;5;La Balsa;PROMOTORA DE ENERGiA, S.A;30;140-2014;234;15;15.2857266;-86.4639302;POINT (-86.4639302 15.2857266);POINT (-86.4639302 15.2857266)
149;5;5;Jicaro I;GENERADORA LOS CERROS, S.A DE C. V;7.5;141-2014;199;13;14.2391396;-88.6591515;POINT (-88.6591515 14.2391396);POINT (-88.6591515 14.2391396)
150;5;5;Jicaro II;GENERADORA LOS CERROS, S.A DE C. V;14.9;142-2014;208;13;14.2636802;-88.6847321;POINT (-88.6847321 14.2636802);POINT (-88.6847321 14.2636802)
151;5;4;Matarras I;"EMPRESA
CENTROAMERICANA DE ENERGIA S.A. DE C.V. (ECAE)";1.7;157-2012;6;1;15.5250773;-87.3883577;POINT (-87.3883577 15.5250773);POINT (-87.3883577 15.5250773)
152;5;5;Las Ventanas;Proveedores Internacional S.A PROINTER;6.92;158-2012;150;10;14.6088439;-88.0142208;POINT (-88.0142208 14.6088439);POINT (-88.0142208 14.6088439)
153;5;4;Chachaguala Etapa I;HELECTRONICA OMOA, S.A DE C.V;13.9;167-2014;64;5;15.6933456;-88.0605786;POINT (-88.0605786 15.6933456);POINT (-88.0605786 15.6933456)
154;5;4;Chachaguala Etapa II;HELECTRONICA OMOA, S.A DE C.V;13.9;167-2014;64;5;15.6855642;-88.0805993;POINT (-88.0805993 15.6855642);POINT (-88.0805993 15.6855642)
155;5;6;El Naranjito;HIDROELECTRICA NARANJITO, S.A DE C.V.;48.3;183-2014;264;16;14.9474157;-88.6105751;POINT (-88.6105751 14.9474157);POINT (-88.6105751 14.9474157)
156;5;6;Joya de la Laguna;GRUPO HONDUREnO DE INVERSIONISTAS, S.A;33;184-2014;264;16;15.0025516;-88.5435622;POINT (-88.5435622 15.0025516);POINT (-88.5435622 15.0025516)
157;5;6;Rio Beutulia (ampliacion);GENERAL EQUIPMENT SUPPLY, S.A   (GESSA);5.5;185-2014 de 070-2010;14;2;15.8689508;-86.1411343;POINT (-86.1411343 15.8689508);POINT (-86.1411343 15.8689508)
158;5;6;Las Perlas I;HIDROELECTRICA INVERSIONES LATINOAMERICANAS LAS TRES PERLAS, S.A DE C.V;18;187-2014;234;15;15.4082957;-86.4587806;POINT (-86.4587806 15.4082957);POINT (-86.4587806 15.4082957)
159;5;6;Las Perlas II;HIDROELECTRICA INVERSIONES LATINOAMERICANAS LAS TRES PERLAS, S.A DE C.V;10.8;188-2014;234;15;15.3880876;-86.4843931;POINT (-86.4843931 15.3880876);POINT (-86.4843931 15.3880876)
160;5;5;Netapa;COMPAniA ELECTRICA DE AGALTECA, S.A DE C. V;5.75;190-2014;22;3;14.6216216;-87.3930269;POINT (-87.3930269 14.6216216);POINT (-87.3930269 14.6216216)
161;5;6;La Junta;HIDROELECTRICA LA JUNTA, S.A DE C.V;4.78;193-2014;6;1;15.5462302;-87.3519062;POINT (-87.3519062 15.5462302);POINT (-87.3519062 15.5462302)
162;5;7;Rio Verde I;Sociedad Hidroelectrica Iriona S.A De C.V.;8.2;204-2009;11;2;15.5714065;-85.4130943;POINT (-85.4130943 15.5714065);POINT (-85.4130943 15.5714065)
163;5;7;Rio Verde II;Sociedad Hidroelectrica Iriona S.A De C.V.;8.2;204-2009;11;2;15.5714522;-85.4136372;POINT (-85.4136372 15.5714522);POINT (-85.4136372 15.5714522)
164;5;6;Proyecto Hidroelectrico Alao Eatapa I;Hidroelectrica Honduras, S. A. DE C. V. (HIDROHONDURAS);8.6;210-2013, decreto 413-2013;288;18;15.0775726;-87.0200431;POINT (-87.0200431 15.0775726);POINT (-87.0200431 15.0775726)
165;5;4;San Martin;Inversiones San Martin, S.A;3;226-2013;244;15;15.0229422;-85.8338096;POINT (-85.8338096 15.0229422);POINT (-85.8338096 15.0229422)
166;5;6;Playitas Etapa I;HIDROELECTRICA AQUA DULCE HN, S.A DE C.V;4.5;227-2014;196;13;14.893132;-88.5570187;POINT (-88.5570187 14.893132);POINT (-88.5570187 14.893132)
167;5;6;Proyecto Hidroelectrico Azacualpita;ENERGIA RENOVABLE DE Honduras, S.A DE C.V;18.96;228-2014;188;13;14.2292951;-88.3670256;POINT (-88.3670256 14.2292951);POINT (-88.3670256 14.2292951)
168;5;6;Las Juntas Petuncara;RENOVABLES Y GENERACIoN DE LEMPIRA, S.A DE C.V  (REGELSA);8.2;230-2014;205;13;14.324152;-88.6244808;POINT (-88.6244808 14.324152);POINT (-88.6244808 14.324152)
169;5;4;Pena Blanca;Hidroelectrica Pena Blanca, S.A. de C.V.;0.9;232-2013;70;5;14.9780805;-88.0302123;POINT (-88.0302123 14.9780805);POINT (-88.0302123 14.9780805)
170;5;5;San Antonio;"POTENCIA HIDRaULICA
DEL ATLANTICO, S.A. de C.V.";2.25;247-2012;2;1;15.5913251;-87.6465358;POINT (-87.6465358 15.5913251);POINT (-87.6465358 15.5913251)
171;5;7;El Molo;Castillo Torres Energy S.A. De C.V. (Castor);13.6;248-2012;270;16;14.7163157;-88.2236117;POINT (-88.2236117 14.7163157);POINT (-88.2236117 14.7163157)
172;5;6;Tomhawa;ENERGIA RENOVABLE DE OLANCHO, S.A DE C.V;4;261-2014;244;15;15.2641342;-85.8017543;POINT (-85.8017543 15.2641342);POINT (-85.8017543 15.2641342)
173;5;6;Santa Maria de Quipua II;SOCIEDAD HIDROELECTRICA SANTA MARIA DE QUIPUA, S.A DE C.V;24.1;262-2014;296;18;14.9381881;-87.3559642;POINT (-87.3559642 14.9381881);POINT (-87.3559642 14.9381881)
174;5;6;Ojo de Agua Fase II;Sociedad Hidroelectrica Olanchana, S.A de C.V.;11.25;263-2014;11;2;15.4355021;-85.5150587;POINT (-85.5150587 15.4355021);POINT (-85.5150587 15.4355021)
175;5;5;La Ensenada;HIDROELECTRICA LA ENSENADA, S.A (HIDROENSANADA);1.5;264-2014;1;1;15.7654203;-86.6382244;POINT (-86.6382244 15.7654203);POINT (-86.6382244 15.7654203)
176;5;6;Zompopero;HIDROELECTRICA ZOMPOPERO, S.A DE C.V;10;265-2014;275;16;14.6652738;-88.0760115;POINT (-88.0760115 14.6652738);POINT (-88.0760115 14.6652738)
177;5;6;Chiligatoro I;ROTA INVERSIONES, S.A;1.8;266-2014;149;10;14.4469623;-88.2176356;POINT (-88.2176356 14.4469623);POINT (-88.2176356 14.4469623)
178;5;6;Chiligatoro II;ROTA INVERSIONES, S.A;1.3;266-2014;149;10;14.4687381;-88.1967317;POINT (-88.1967317 14.4687381);POINT (-88.1967317 14.4687381)
179;5;6;Chiligatoro III;ROTA INVERSIONES, S.A;1.9;266-2014;149;10;14.4777645;-88.2064475;POINT (-88.2064475 14.4777645);POINT (-88.2064475 14.4777645)
180;5;6;Mercedes II;ENERGIA RENOVABLE COPANECAS, S.A DE C.V;8.24;267-2014;220;14;14.2663844;-88.9695157;POINT (-88.9695157 14.2663844);POINT (-88.9695157 14.2663844)
181;5;6;Loma Larga;ENERGY HSTAR, S.A;25;268-2014;288;18;15.4649301;-87.4227924;POINT (-87.4227924 15.4649301);POINT (-87.4227924 15.4649301)
