"ID_Bus";"Desc_Ruta";"ID_Modalidad";"ID_Depto";"ID_Municipio";"HoraInicio";"HoraFinal";"TiempoEstimado";"KmlUbicacion"
27;"Laureles - Centro";1;8;110;"5:30:00";"20:00:00";"30 Minutos";"https://www.dropbox.com/s/hk2btmncnu4565b/LAURELES%20CENTRO.kmz?dl=0"
28;"La Peña - Res. La Cañada - Centro";1;8;110;"5:30:00";"19:30:00";"35 Minutos";"https://www.dropbox.com/s/59vy673r1vs16f5/LA%20PE%C3%91A%20RES.%20CA%C3%91ADA%20EL%20CENTRO.kmz?dl=0"
29;"Aldea Suyapa - UNAH - El Prado - La Granja - El Mercado";1;8;110;"5:30:00";"20:00:00";"10 Minutos";"https://www.dropbox.com/s/o2f1b1nq9jxls94/ALDEA%20SUYAPA%20UNAH%20PRADO%20LA%20GRANJA%20MERCADO.kmz?dl=0"
30;"La Quezada - El Centro";1;8;110;"5:30:00";"20:00:00";"7 Minutos";"https://www.dropbox.com/s/54k1ksjz3aalri0/QUEZADA%20CENTRO.kmz?dl=0"
31;"Popular - El Centro";1;8;110;"5:45:00";"19:15:00";"20 Minutos";"https://www.dropbox.com/s/np1o6jw3562ujq3/POPULAR%20EL%20CENTRO.kmz?dl=0"
32;"Calpules - El Pedregal - El Centro";1;8;110;"5:45:00";"19:00:00";"8 Minutos";"https://www.dropbox.com/s/6i83n89c2nnqu5l/CALPULES%20%20PEDREGAL%20CENTRO.kmz?dl=0"
33;"Las Palmas - Blvd. Kennedy - El Centro";1;8;110;"5:30:00";"19:00:00";"5 Minutos";"https://www.dropbox.com/s/jqehpxz794lht8d/LAS%20PALMAS%20BLVD.%20KENNEDY%20EL%20CENTRO.kmz?dl=0"
34;"Los Profesores - El Centro - Reparto por Arriba";1;8;110;"5:30:00";"19:00:00";"10 Minutos";"https://www.dropbox.com/s/wzqk2dx9obnnuxo/PROFESORES%20EL%20CENTRO%20REPARTO%20POR%20ARRIBA.kmz?dl=0"
35;"Divino Paraiso - El Mercado";1;8;110;"5:30:00";"19:15:00";"10 Minutos";"https://www.dropbox.com/s/wg5uqcmazmttolw/DIVINO%20PARAISO%20EL%20MERCADO.kmz?dl=0"
36;"Campo Cielo - El Centro";1;8;110;"5:30:00";"20:30:00";"7 Minutos";"https://www.dropbox.com/s/8y3r0ujriynumgj/Campo_Cielo_-_El_Centro.kmz?dl=1"
37;"Flor del Campo Zona 2 - El Centro";1;8;110;"5:30:00";"19:00:00";"7 Minutos";"https://www.dropbox.com/s/izqgxjkuc2c0u29/FLOR%20DEL%20CAMPO%20Z2%20CENTRO.kmz?dl=1"
38;"Flor del Campo Zona 1 - El Centro";1;8;110;"5:30:00";"19:30:00";"7 Minutos";"https://www.dropbox.com/s/8nx2exw1waktdg8/FLOR%20DEL%20CAMPO%20ZONA%201%20EL%20CENTRO.kmz?dl=1"
39;"Universidad - El Centro - La Isla";1;8;110;"5:45:00";"19:15:00";"10 Minutos";"https://www.dropbox.com/s/j0gstry4opa9qbr/UNIVERSIDAD%20EL%20CENTRO%20LA%20ISLA.kmz?dl=0"
40;"Los Profesores - El Centro - Reparto por Bajo";1;8;110;"5:30:00";"19:00:00";"10 Minutos";"https://www.dropbox.com/s/h0uqppun5ruc826/PROFESORES%20EL%20CENTRO%20REPARTO%20POR%20BAJO.kmz?dl=0"
41;"Tiloarque - El Centro - La Sosa";1;8;110;"5:30:00";"20:00:00";"7 Minutos";"https://www.dropbox.com/s/zjtry1tq2b5vi6y/TILOARQUE%20LA%20SOSA.kmz?dl=0"
42;"Las Casitas - El Centro";1;8;110;"5:30:00";"19:00:00";"15 Minutos";"https://www.dropbox.com/s/81sto0xf9xs0hg2/LAS%20CASITAS%20CENTRO.kmz?dl=0"
43;"Río Abajo - El Centro";1;8;110;"5:30:00";"19:00:00";"8 Minutos";"https://www.dropbox.com/s/vjnxlgfnrxsv9tb/RIO%20ABAJO%20EL%20CENTRO.kmz?dl=0"
44;"Zambrano - Mall Premier";1;8;110;"4:45:00";"19:20:00";"30 Minutos";"https://www.dropbox.com/s/naa28hhc734zrm2/ZAMBRANO%20MALL%20PREMIER.kmz?dl=0"
45;"Monteredondo - El Mercado";1;8;110;"4:50:00";"18:30:00";"120 Minutos";"https://www.dropbox.com/s/3kuy9bd8vy4kmp2/MONTEREDONDO%20MERCADO.kmz?dl=0"
46;"Tamara - El Mercado";1;8;110;"5:00:00";"18:00:00";"20 Minutos";"https://www.dropbox.com/s/qm1pdjihgt40zju/TAMARA%20MERCADO.kmz?dl=0"
47;"Divina Providencia - Mercado";1;8;110;"5:00:00";"19:00:00";"30 Minutos";"https://www.dropbox.com/s/1cqedw79qaiba6e/DIVINA%20PROVIDENCIA%20MERCADO.kmz?dl=0"
48;"Campo Verde - Mall Premier";1;8;110;"5:00:00";"20:00:00";"30 Minutos";"https://www.dropbox.com/s/lalv9rvk7dy29rp/CAMPO%20VERDE%20MALL%20PREMIER.kmz?dl=0"
49;"Río Grande - Kennedy - El Tablón";1;8;110;"5:30:00";"20:00:00";"10 Minutos";"https://www.dropbox.com/s/ed9os4upmyc5zkk/RIO%20GRANDE%20CENTRO%20KENNEDY%20EL%20TABLON.kmz?dl=0"
50;"San Juancito - San Felipe";1;8;110;"4:50:00";"19:00:00";"120 Minutos";"https://www.dropbox.com/s/6kqnxibtekrlbp9/SAN%20JUANCITO%20SAN%20FELIPE.kmz?dl=0"
